Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"('Feds charge three men, including two former White Sox staffers, in online ticket scam that caused team to lose $1 million', 'chicago tribune', '2020-02-01')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online Resale Platform,https://www.chicagotribune.com/2020/01/31/feds-charge-three-meInfluential Groupncluding-two-former-white-sox-staffers-in-online-ticket-scam-that-caused-team-to-lose-1-million/
"('Fireman kills woman in Chennai over her relationship with Facebook friend', 'the times of india', '2017-05-10')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Death,Facebook,https://timesofindia.indiatimes.com/city/chennai/fireman-kills-womaInfluential Groupn-chennai-over-her-relationship-with-facebook-friend/articleshow/58588120.cms
"('G2: Welcome to the first e-election: Spoof posters of Cameron and Brown, irreverant blogs, amateur websites calling MPs to account . . . Will this election be dominated by the online pundits?', 'the guardian', '2010-03-17')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,,Online,https://www.theguardian.com/politics/2010/mar/17/labour-conservatives-general-election-online
"('Gang running 'CIA' website busted, 4 held', 'the times of india', '2022-06-02')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Fraud,Online,https://timesofindia.indiatimes.com/city/varanasi/gang-running-cia-website-busted-posed-as-sog-cops/articleshow/91953051.cms
"('Gene Marks: Your employees are now officially allowed to complain about your business on Twitter', 'the washington post', '2016-08-23')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,"Restricted from job/school, Legistlation",Twitter,https://www.washingtonpost.com/news/on-small-business/wp/2016/08/23/gene-marks-your-employees-are-now-officially-allowed-to-complain-about-your-business-on-twitter/
"('Half of children lying about their age online', 'irish examiner', '2014-06-21')",Regular Individual->S,Regular Individual,S,Deceptive & Fraudulent Behavior_Impersonation,,Online,https://www.irishexaminer.com/news/arid-20272814.html
"('How Pakistan ISI used Facebook likes and comments to honey-trap a BSF jawan', 'the hindustan times', '2018-09-21')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Impersonation,Fraud,Facebook  ,https://www.hindustantimes.com/india-news/facebook-id-used-to-trap-bsf-jawan-has-90-indian-on-friend-list-investigators/story-JHmeCp9k10JIFp7wQWAAHO.html
"('How Russian Trolls Crept Into the Trump Campaign’s Facebook Messages', 'new york times', '2018-03-08')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Facebook,https://www.nytimes.com/2018/03/08/us/politics/russian-trolls-trump-campaign-florida-matt-skiber.html
"('Hundreds of credit card owners hit by online scam', 'irish examiner', '2008-08-08')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Cybersecurity,,Online,https://www.rte.ie/news/business/2008/0808/106763-credit-business/
"('IAF warns about fake social media accounts of Abhinandan', 'the times of india', '2019-03-07')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Social Media,https://timesofindia.indiatimes.com/india/iaf-warns-about-fake-social-media-accounts-of-abhinandan/articleshow/68289062.cms
"('IAS officer B Chandrakala finds LinkedIn account running in her name, goes to police', 'the times of india', '2019-02-22')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Linkedin,https://timesofindia.indiatimes.com/city/noida/ias-officer-b-chandrakala-finds-linkedin-account-running-in-her-name-goes-to-police/articleshow/68087380.cms
"('Impostor creates fake Snapchat a/c of girl, posts explicit photos', 'the times of india', '2017-02-15')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Snapchat,https://timesofindia.indiatimes.com/city/gurgaon/impostor-creates-fake-snapchat-a/c-of-girl-posts-explicit-photos/articleshow/57135541.cms
"('In ‘Battle’ With Media, a New Tactic in Ecuador', 'new york times', '2012-03-12')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,News,https://www.nytimes.com/2012/03/13/world/americas/ecuadorean-president-says-he-will-keep-pressure-on-media.html
"('In HSRP rush, vehicle owners fall prey to booking fraud on the web', 'the times of india', '2021-11-16')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://timesofindia.indiatimes.com/city/noida/in-hsrp-rush-vehicle-owners-fall-prey-to-booking-fraud-on-the-web/articleshow/87705070.cms
"('Internet defamation: who is legally responsible for online comments?', 'irish examiner', '2014-04-23')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,"Youtube, Delphi, Blogger",https://www.irishexaminer.com/opinion/commentanalysis/arid-20266171.html
"('Internet troll fined for defamation against Lee Jun-ho', 'the korea times', '2023-07-29')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.koreatimes.co.kr/entertainment/20230729/internet-troll-fined-for-defamation-against-lee-jun-ho
"('Irish Examiner view: Online vitriol', 'irish examiner', '2022-10-14')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.irishexaminer.com/opinion/ourview/arid-40983347.html
"('Joe Jonas and Sophie Turner’s divorce is making the media ask the worst questions', 'the guardian', '2023-09-09')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,,Online,https://www.theguardian.com/commentisfree/2023/sep/09/joe-jonas-sophie-turner-divorce-tabloid-narrative
"('Karthik Subbaraj appalled at the leaks from Petta sets, requests fans not to share footage on social media', 'the hindustan times', '2018-10-08')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.hindustantimes.com/regional-movies/karthik-subbaraj-appalled-at-the-leaks-from-petta-sets-requests-fans-not-to-share-footage-on-social-media/story-9N4MRHqYIjZfkwIJtFWf5I.html
"('Kol cops arrest Roddur Roy from Goa for abusive posts', 'the times of india', '2022-06-08')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/kolkata/kolkata-cops-arrest-roddur-roy-from-goa-for-abusive-posts/articleshow/92070116.cms
"('Kyle Rittenhouse launches initiative to fight media ‘lies’ – and Whoopi Goldberg', 'the guardian', '2022-02-22')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.theguardian.com/us-news/2022/feb/22/kyle-rittenhouse-initiative-targets-media-whoopi-goldberg
"('Lady Gaga Releases a New Song After It Leaks Online', 'new york times', '2013-08-13')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Content Released,Online,https://archive.nytimes.com/artsbeat.blogs.nytimes.com/2013/08/13/lady-gaga-releases-a-new-song-after-it-leaks-online/
"('Lohan lies go viral; truth is an afterthought', 'the washington post', '2010-05-07')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,"Twitter, Blog",https://www.washingtonpost.com/archive/style/2010/05/07/lohan-lies-go-viral/25517a70-9679-4499-84c7-6c276c22ffe3/
"('Mahesh Babu's upcoming film's song leaked online', 'the times of india', '2017-03-27')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://timesofindia.indiatimes.com/entertainment/telugu/movies/news/mahesh-babus-upcoming-films-song-leaked-online/articleshow/57840533.cms
"('Man accused of killing girlfriend he met online', 'the daily telegraph', '2022-02-04')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Death,Dating app,https://www.telegraph.co.uk/news/2022/02/03/boyfriend-charged-alleged-murder-canadian-teenager-flew-uk-meet/
"('Man arrested for posting mom-in-law's number online', 'the times of india', '2019-06-02')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Online,https://timesofindia.indiatimes.com/city/hyderabad/man-arrested-for-posting-mom-in-laws-number-online/articleshow/69615226.cms
"('Man Running Fake Twitter Accounts Of Army Officials Held', 'the nation', '2022-05-26')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Twitter,https://www.nation.com.pk/26-May-2022/maRegular Groupunning-fake-twitter-accounts-of-army-officials-held
"('Mastermind online fraudster nabbed by MP cyber cell', 'the times of india', '2020-05-15')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Impersonation,Fraud,Online Matrimonial Website,https://timesofindia.indiatimes.com/city/bhopal/mastermind-online-fraudster-nabbed-by-mp-cyber-cell/articleshow/75732234.cms
"('Mayor's fake profile created, probe underway', 'the times of india', '2023-06-09')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/lucknow/mayors-fake-profile-created-probe-underway/articleshow/100836703.cms
"('Memphis police accused of using fake accounts to surveil black activists', 'the guardian', '2018-08-01')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Impersonation,,Facebook,https://www.theguardian.com/us-news/2018/aug/01/memphis-police-black-lives-matter-activists
"('MP threatens legal action against district collector for allegedly defaming him on social media', 'the times of india', '2016-07-01')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action ,Whatsapp,https://timesofindia.indiatimes.com/mp-threatens-legal-action-against-district-collector-for-allegedly-defaming-him-on-social-media/articleshow/52990942.cms
"('MP, ex-MLA get notices for comments on AP HC verdicts', 'the times of india', '2020-05-27')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/vijayawada/mp-ex-mla-get-notices-for-comments-on-ap-hc-verdicts/articleshow/76024579.cms
"('Mr Beast vs Mr Beast Burger: YouTuber's $10m lawsuit met with a $100 m counter-suit', 'the hindustan times', '2023-08-08')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.hindustantimes.com/world-news/mr-beast-vs-mr-beast-burger-youtubers-10m-lawsuit-met-with-a-100-m-countersuit-101691481430587.html
"('Mumbai: Obscene comments posted on social media against govt officer', 'the hindustan times', '2015-05-25')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Actioin,SNS,https://www.hindustantimes.com/mumbai/mumbai-obscene-comments-posted-on-social-media-against-govt-officer/story-yuoe27KftgypmTP58lj96M.html
"('Murong Xuecun Says He Is Target of Twitter Smear Campaign', 'new york times', '2014-09-08')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,,Twitter,https://archive.nytimes.com/sinosphere.blogs.nytimes.com/2014/09/08/murong-xuecun-says-he-is-target-of-twitter-smear-campaign/
"('NCERT issues guidelines on cyberbullying', 'the times of india', '2018-05-03')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Remove Content,Facebook Live,https://timesofindia.indiatimes.com/india/ncert-issues-guidelines-on-cyberbullying/articleshow/64007762.cms
"('Noida online fraud accused in ED judicial custody', 'the times of india', '2017-02-19')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Social Trade Dot Bizz,https://timesofindia.indiatimes.com/city/lucknow/noida-online-fraud-accused-in-ed-judicial-custody/articleshow/57225350.cms
"('Office of another social media trade link firm sealed in Noida, police hunt for directors', 'the hindustan times', '2017-02-16')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.hindustantimes.com/delhi/office-of-another-social-media-trade-link-firm-sealed-in-noida-police-hunt-for-directors/story-QK5pZwUICiFOvy56KQ35aN.html
"('One arrested for Facebook posts on Kateel goddess', 'the times of india', '2016-09-12')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/mangaluru/one-arrested-for-facebook-posts-on-kateel-goddess/articleshow/54273082.cms
"(‘One tree for every pet picture’ trend appears to mislead millions on Instagram, irish examiner, 2021-11-09)",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Fraud,Instagram,https://www.irishexaminer.com/business/technology/arid-40740843.html
"('Online Chats Tie Politicians to the Troll of Staten Island', 'new york times', '2017-09-07')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Facebook,https://www.nytimes.com/2017/09/07/nyregion/stateInfluential Groupsland-politics-facebook-troll.html
"('Online Scammers Prey on the Jobless', 'new york times', '2009-08-05')",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online,https://www.nytimes.com/2009/08/06/technology/personaltech/06basics.html
"('Panchkula: Assistant professor loses rRs.r43,800 to online reviews scam', 'the hindustan times', '2023-07-28')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Whatsapp,https://www.hindustantimes.com/cities/chandigarh-news/assistant-professor-loses-43-800-in-online-fraud-patiala-police-register-case-under-sections-419-420-120b-101690489477630.html
"('Parents find fake Facebook account of daughter with stolen pic', 'the times of india', '2017-10-07')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/gurgaon/parents-find-fake-facebook-account-of-daughter-with-stolen-pic/articleshow/60977738.cms
"('Peeved, Farooq complains against fake Twitter account', 'the times of india', '2012-02-27')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/delhi/peeved-farooq-complains-against-fake-twitter-account/articleshow/12039020.cms
"('Peppa Pig owner sues studio behind Wolfoo YouTube character', 'the guardian', '2022-01-26')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Legal Action,Youtube,https://www.theguardian.com/business/2022/jan/26/peppa-pig-owner-sues-studio-behind-wolfoo-youtube-character
"('PERSPECTIVE; CRITIC AT LARGE; Web trolls disrupt Europe festival; 'Satanist' posts force popular Unsound music event to change venues in Poland.', 'los angeles times', '2015-10-15')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Salon24,https://www.latimes.com/entertainment/music/posts/la-et-ms-unsound-festival-internet-troll-satanism-20151012-story.html
"('Petition calls for 'execution' of YouTuber embroiled in sex abuse probe', 'the korea times', '2018-07-11')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Death,Youtube,https://www.thefreelibrary.com/Petition+calls+for+%27execution%27+of+YouTuber+embroiled+in+sex+abuse...-a0546321886
"('Planning to shop online? Beware of cyber frauds!', 'the times of india', '2013-07-14')",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online,https://timesofindia.indiatimes.com/city/chandigarh/planning-to-shop-online-beware-of-cyber-frauds/articleshow/21063423.cms
"('Police alerts public to be vigilant when selling goods through online platforms', 'the times of india', '2019-03-16')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Online,https://timesofindia.indiatimes.com/city/kozhikode/police-alerts-public-to-be-vigilant-when-selling-goods-through-online-platforms/articleshow/68424751.cms
"('Police detain 203 for online lottery fraud in China', 'people's daily ', '2017-05-17')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,"QQ, WeChat",https://www.chinadaily.com.cn/china/2017-05/17/content_29384252.htm
"('Raid triggers conflicting stories', 'the times of india', '2017-05-25')",Regular Group->Regular Individual,Regular Group,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,,Online,https://timesofindia.indiatimes.com/city/kochi/raid-triggers-conflicting-stories/articleshow/58830374.cms
"('Railway official cheated of rRs.r1 lakh in online fraud', 'the hindustan times', '2022-10-04')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.hindustantimes.com/cities/lucknow-news/railway-official-cheated-of-rs-1-lakh-in-online-fraud-101664824425191.html
"('Rakhi Sawant's ex-husband Ritesh denies hacking her social media accounts: 'I'll file defamation case against her'', 'the hindustan times', '2022-06-13')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Social Media,https://www.hindustantimes.com/entertainment/bollywood/rakhi-sawant-s-ex-husband-ritesh-denies-hacking-her-social-media-accounts-to-sue-her-for-defamation-101655124563229.html
"('S.E.C. claims investment adviser puffed up his background on the web', 'international new york times', '2016-03-10')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action ,Online,https://www.nytimes.com/2016/03/09/business/dealbook/sec-fraud-case-says-adviser-puffed-up-his-background-online.html
"('Shark Tank India's Aman Gupta warns against fake boAt websites: 'Beware.'', 'the hindustan times', '2023-02-21')",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Fraud,boAt,https://www.hindustantimes.com/technology/shark-tank-india-s-aman-gupta-warns-against-fake-boat-websites-beware-101676950099808.html
"('Should Online Scofflaws Be Denied Web Access?', 'new york times', '2009-04-12')",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,Legal Action,Online,https://www.nytimes.com/2009/04/13/technology/internet/13iht-piracy13.html
"('SP workers protest as Lucknow police arrest party's Twitter account handler', 'the times of india', '2023-01-09')",Influential Individual->Influential Group,Influential Individual,Influential Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/lucknow/sp-workers-protest-as-lucknow-police-arrest-partys-twitter-account-handler/articleshow/96829633.cms
"('Taking the SAT is hard enough. Then students learned the test's answers may have been leaked online', 'los angeles times', '2018-08-27')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Intellectual Property,,Twitter,https://www.latimes.com/local/lanow/la-me-ln-sat-exam-leaked-20180827-story.html
"('Theft is theft, even online', 'the washington post', '2011-12-11')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.washingtonpost.com/opinions/property-thefton-the-webno-less-wrong/2011/12/09/gIQAFxgDjO_story.html
"('This is the third time, I have been robbed: Annu Kapoor, who was cheated of Rs 4.36 lakh in online fraud', 'the times of india', '2022-10-03')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,,Online,https://timesofindia.indiatimes.com/tv/news/hindi/this-is-the-third-time-i-have-beeRegular Groupobbed-annu-kapoor-who-was-cheated-of-rs-4-36-lakh-in-online-fraud/articleshow/94597661.cms
"('Twitter 'snooping requests' double', 'irish examiner', '2015-08-13')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.bbc.com/news/technology-33882688
"('Twitter account claiming to be BSF jawan Tej Bahadur Yadav's is fake', 'the times of india', '2018-08-29')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,Twitter ,https://timesofindia.indiatimes.com/india/twitter-account-claiming-to-be-bsf-jawan-tej-bahadur-yadavs-is-fake/articleshow/65580296.cms
"('Twitter page admin held for sharing budget meme', 'the times of india', '2023-03-23')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://timesofindia.indiatimes.com/city/chennai/twitter-page-admin-held-for-sharing-budget-meme/articleshow/98928533.cms
"('Twitter sued in row over secret 'hate"" blog', 'the daily telegraph', '2012-02-18')",S->Regular Individual,S,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.telegraph.co.uk/technology/twitter/9088278/Twitter-sued-by-Australian-man-defamed-iRegular Groupow-over-secret-blog.html
"('Vivek Agnihotri asks Mamata Banerjee for withdrawal of her comments on The Kashmir Files, sends legal notice', 'the hindustan times', '2023-05-09')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Twitter,https://www.hindustantimes.com/entertainment/bollywood/vivek-agnihotri-asks-mamata-banerjee-for-withdrawal-of-her-comments-on-the-kashmir-files-sends-legal-notice-101683619677330.html
"('Woman Allegedly Terrorized by Online Date; Three Stabbed in Annandale Nightclub Fight; Holiday Traffic Fatalities Decline', 'the washington post', '2009-05-27')",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://www.washingtonpost.com/archive/local/2009/05/27/woman-allegedly-terrorized-by-online-date-three-stabbed-in-annandale-nightclub-fight-holiday-traffic-fatalities-decline/843ece9c-3a49-4792-94b0-41a556394f06/?isMobile=1
"('Woman, 69, falls for gift con, loses Rs 6.6 lakh to fake Facebook friend', 'the times of india', '2020-03-22')",Regular Individual->Regular Group,Regular Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Facebook,https://timesofindia.indiatimes.com/city/chandigarh/woman-69-falls-for-gift-con-loses-rs-6-6-lakh-to-fake-facebook-friend/articleshow/74741463.cms
"('YouTube becomes hotbed of pirated videos', 'the korea times', '2019-09-01')",Regular Group->Regular Group,Regular Group,Regular Group,Deceptive & Fraudulent Behavior_Intellectual Property,Content Removal,Youtube,https://www.koreatimes.co.kr/amp/entertainment/shows-dramas/20190901/pirated-contents-increasing-on-youtube-data
"('Youtube takes down Shirish Kunder's debut short film 'Kriti'', 'the times of india', '2016-07-01')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Youtube,https://mumbaimirror.indiatimes.com/entertainment/bollywood/youtube-takes-down-shirishs-debut-short/articleshow/52982535.cms
"(37-year-old Pune woman duped of rRs.r62 lakh by online matrimonial match, the hindustan times, 2022-01-16)",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Fraud,Online dating,https://www.hindustantimes.com/cities/pune-news/37yearold-pune-woman-duped-of-62-lakh-by-online-matrimonial-match-101642330708442.html
"(Actress Swathi upset by fake social media accounts!, the times of india, 2020-05-07)",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,,"Twitter, Facebook",https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/actress-swathi-upset-by-fake-social-media-accounts/articleshow/75568948.cms
"(Calling 'rogue diallers' to account, the guardian, 2004-07-10)",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,,Online,https://www.theguardian.com/money/2004/jul/10/scamsandfraud.jobsandmoney1
"(Chennai: YouTuber arrested for swindling Rs 36 lakh, the times of india, 2022-06-01)",Influential Individual->Regular Group,Influential Individual,Regular Group,Deceptive & Fraudulent Behavior_Fraud,"Fraud, Legal Action",Youtube,https://timesofindia.indiatimes.com/city/chennai/chennai-youtuber-arrested-for-swindling-rs-36-lakh/articleshow/91901578.cms
"(Fake accounts in Sivan's name: Isro warns action, the times of india, 2019-09-10)",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Impersonation,Misinformation led to action,Twitter,https://timesofindia.indiatimes.com/times-fact-check/news/alert-fake-twitter-accounts-in-the-name-of-isro-chief-k-sivan-on-the-rise/articleshow/71042559.cms
"(Fitness trainer loses Rs 11L in online fraud, the times of india, 2023-07-26)",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,Online,https://timesofindia.indiatimes.com/city/pune/fitness-trainer-loses-rs-11-lakh-in-online-fraud/articleshow/102120681.cms
"(Media companies scramble after judge rules they are liable for Facebook comments, the guardian, 2019-06-25)",Influential Individual->Regular Individual,Influential Individual,Regular Individual,Deceptive & Fraudulent Behavior_Defamation,Legal Action,Facebook,https://www.theguardian.com/technology/2019/jun/25/media-companies-scramble-after-judge-rules-they-are-liable-for-facebook-comments
"(Mishra confident online leak won't harm 'Tera Kya Hoga Johnny', the hindustan times, 2010-01-21)",Regular Group->Influential Individual,Regular Group,Influential Individual,Deceptive & Fraudulent Behavior_Intellectual Property,,Online,https://www.hindustantimes.com/entertainment/online-leak-won-t-harm-tera-kya-hoga-johnny-mishra/story-aKM85NFEX8cSMeFbYqltCI.html
"(Mumbai: 'Army man' cons woman of Rs 14,000 in online furniture deal, the times of india, 2020-02-09)",Regular Individual->Regular Individual,Regular Individual,Regular Individual,Deceptive & Fraudulent Behavior_Fraud,Legal Action,WhatsApp,https://timesofindia.indiatimes.com/city/mumbai/mumbai-army-man-cons-woman-of-rs-14000-in-online-furniture-deal/articleshow/74022193.cms
